key;author;title;description
/works/OL32360894W;/authors/OL11742603A;Die sociale Emanzipation;
/works/OL35066044W;/authors/OL12680452A;Guerras profanas;
/works/OL33453246W;/authors/OL323747A;Metodyka i badania jakości kształcenia w szkolnictwie wyższym w Polsce;
/works/OL2376716W;/authors/OL323747A;Metoda dielektryczna badania kinetyki przenikania pary wodnej przez folie opakowaniowe;
/works/OL19904976W;/authors/OL6840079A;Supermax;This book examines the rise and proliferation of 'Supermaxes', large prisons dedicated to holding prisoners in prolonged and strict solitary confinement, in the United States since the late 1980s.
/works/OL15445379W;/authors/OL6840079A;Supermax;
/works/OL33135313W;/authors/OL1089671A;The nonpareil reader and speaker for young people;
/works/OL19564238W;/authors/OL1089671A;The Violet Speaker: Selected Verse for Girls;
/works/OL5016822W;/authors/OL1089671A;The laurel speaker;
/works/OL5016823W;/authors/OL1089671A;Our holidays;
/works/OL5016824W;/authors/OL1089671A;The golden glow speaker;
/works/OL5016825W;/authors/OL1089671A;The pansy speaker;"I found the book  ""The Pansy Speaker"" in my deceased father’s family collection. The Pansy Speaker: Little Verses for Little Girls, has a pretty little girl in a blue dress and hat in a daisy patch on the inside cover titled “ I am a Little Fairy.”            A LIT-TLE FAIR-Y  I am a lit-tle fair-y     I flut-ter to and fro  (At least, if fair-ies flut-ter---     I think they do, you know!).    I am a lit-tle fiar-y,      I flit-ter here and there   (Do fair-ies real-ly flit-ter?     I don’t know, I de-clare).    There’s one thing I must men-tion,     And then a-way I’ll go:  I am a lit-tle fair-y---     I thought you’d like to know!             The books consists of several poems for small children many only a few verses long. Such poems as:  For a Very Little Girl, For a Tiny Tot, What is the Use, Mary’s Little Lamb, Our Girl’s Rabbits, Baby, Little Things, Kind Words, Dolly Town, My Dear Kitty, To the Pansy, Little Bo-Peep,  and The Rose; to name a few.     “Little Bo Peep: Little Bo-Peep has lost her sheep, and can’t tell where to find them; Leave them alone, and they’ll come home And bring their tails behind them.  	Little Bo-Peep fell fast asleep, and dreamed she heard them bleating, But when she awoke, ‘twas all a joke – Atlas! They still were fleeting.  	Then up she took her little crook, determined for to find them; She found them, indeed, but it made her heart bleed, They’d left their tails behind them.  	It happened one day, as Bo-Peep did stray Over the meadows hard by, That there she espied their tails side by side, All hung on a tree to dry.   She heaved a sigh, and gave by-and –by Each careless sheep a banging;  And as for the rest she thought it was best just to leave their tails a-hanging.”  “Mary’s Little lamb  Mary had a little lamb Whose fleece was white as snow, And everywhere that Mary went That lamb is would not go;  So Mary took that little Lamb And put it on the spit, And soon it was so nicely done She ate it every bit. “"
/works/OL5016826W;/authors/OL1089671A;The Violet Speaker;
/works/OL4174313W;/authors/OL790140A;Hē  Athēna hopōs tēn ezēsa kai tēn egnōrisa;
/works/OL4174314W;/authors/OL790140A;Hē Hellada hopōs tēn ezēsa kai tē gnōrisa;
/works/OL17028118W;/authors/OL7221453A;Periodical catalogue of fruit and ornamental trees, hedge plants, shrubs, vines, strawberries, &c., cultivated and for sale at the Mound Nursery, five miles northwest of Canton, Fulton Country, Ill;
/works/OL19603580W;/authors/OL6022448A;Report and Accompanying Documents of the Virginia Commissioners Appointed to ...;
/works/OL15480404W;/authors/OL2507847A;Histoire des Etats du Paper;
/works/OL7846789W;/authors/OL2507847A;Histoire des Etats du Paper;
/works/OL7846790W;/authors/OL2507847A;The history of the Papal States;
/works/OL7846791W;/authors/OL2507847A;L' empereur Napoléon III et la papauté;
/works/OL19893744W;/authors/OL7576846A;Pattern recognition techniques, technology and applications;
/works/OL9496065W;/authors/OL3509570A;S.S. ASTRO;
/works/OL20613288W;/authors/OL1675849A;The Video Player's Back-Pocket Guide to Defender;
/works/OL17882430W;/authors/OL1675849A;Video Player's Back-Pocket Guide to Centipede;"This is a hints, tips, and strategy guide to the Atari arcade video game, ""Centipede"". It features illustrations of the games screen by Bob Lyons, which show the path of enemies, as well as details about each object in the game. There are details on the games controls, as well as tips and strategies for beginner and advanced players. The guide is a small hand's palm sized book, designed to fit into a person's pocket. Near the end of the book, there is a grid for players to write their; High score, Date, Top Round Reached, No. of Games Played, and Where Played. There is also several blank pages for the player to write their own notes, about the game. This is one of several books released in the ""The Video Player's Back-Pocket Guide"" series. The book's spine lists the books price as $1.50.      Books in ""The Video Player's Back-Pocket Guide"" series:  * The Video Player's Back-Pocket Guide to Asteroids  * The Video Player's Back-Pocket Guide to Pac-Man  * The Video Player's Back-Pocket Guide to Donkey Kong  * The Video Player's Back-Pocket Guide to Centipede  * The Video Player's Back-Pocket Guide to Defender  * The Video Player's Back-Pocket Guide to Tempest"
/works/OL6377237W;/authors/OL1675849A;The Video Player's Back-Pocket Guide to;
/works/OL6377235W;/authors/OL1675849A;Do You Remember?;
/works/OL6377236W;/authors/OL1675849A;L' Irgoun;
/works/OL3919867W;/authors/OL713847A;Adolescence;
/works/OL19300129W;/authors/OL713847A;Chu sheng ying er;
/works/OL18210975W;/authors/OL713847A;Ctam nang chăm sóc bà mẹ & em bé;
/works/OL18210822W;/authors/OL713847A;Ctam nang chăm sóc bà mẹ và em bé;
/works/OL18209899W;/authors/OL713847A;Ma ma bao bao hu li da quan;
/works/OL3919864W;/authors/OL713847A;Healthy pregnancy;
/works/OL3919865W;/authors/OL713847A;The make-believe man;
/works/OL3919866W;/authors/OL713847A;O Parto;
/works/OL3919868W;/authors/OL713847A;How sex works;
/works/OL9890082W;/authors/OL3872244A;There's Nobody Like You!;
/works/OL26999379W;/authors/OL10125417A;Rottweilers for Beginners : Rottweilers for Beginners;
/works/OL34942640W;/authors/OL7531730A;Broad City 2018 Wall Calendar;
/works/OL26561777W;/authors/OL7531730A;Broad City Pop-Up Notecards;
/works/OL19733162W;/authors/OL7531730A;Broad city;Follows the daily lives of two young women struggling to get by in New York City.
/works/OL34618984W;/authors/OL474222A;Practical coaching techniques for the hurdles;
/works/OL17538235W;/authors/OL474222A;Dash The Sea Turtle;
/works/OL3056692W;/authors/OL474222A;Bounding to the Top;
/works/OL3056693W;/authors/OL474222A;Sports agility;
/works/OL27861613W;/authors/OL10397772A;Persecuted Christians Past and Present;
/works/OL7229847W;/authors/OL2087990A;Handelsbeziehungen Kölner Kaufleute zwischen 1500 und 1650;
/works/OL6378650W;/authors/OL1676595A;A piece of land on Black Creek;
/works/OL12656987W;/authors/OL5649024A;The case of the solicitor to the city of London (James Roberts) submitted to the consideration of every candid and impartial commissioner of sewers and pavements for the said city;
/works/OL12656988W;/authors/OL5649024A;Copy of a report of the City solicitor to the committee in relation to officers and clerks;
/works/OL12656989W;/authors/OL5649024A;Epping forest. Memorandum explanatory of the scheme for the future management of Epping forest proposed by the Corporation of London;
/works/OL26504156W;/authors/OL9987307A;Quantum Information Theory;
/works/OL31035589W;/authors/OL11334073A;Lísá Frank Coloring Book;
/works/OL31015698W;/authors/OL11334073A;"Lísa Fr&#257;nk Coloring Book";
/works/OL10621264W;/authors/OL4419513A;The story of Sir Francis Drake;
/works/OL23301253W;/authors/OL8838069A;Derecho registral;
/works/OL34688030W;/authors/OL12515404A;Century of Georgia Agriculture, 1850-1950;
/works/OL33293911W;/authors/OL884716A;Law and language;
/works/OL22883901W;/authors/OL884716A;Natürlicher syntaktischer Sprachwandel;
/works/OL22615703W;/authors/OL884716A;Text and meaning;
/works/OL19575429W;/authors/OL884716A;Pathways of change;
/works/OL19407688W;/authors/OL884716A;The virtues of language;
/works/OL19370677W;/authors/OL884716A;Co-operating with written texts;
/works/OL19217498W;/authors/OL884716A;Towards a standard English, 1600-1800;
/works/OL19209635W;/authors/OL884716A;Internal and external factors in syntactic change;
/works/OL19130268W;/authors/OL884716A;Pathways of change;
/works/OL18349244W;/authors/OL884716A;Taming the vernacular;
/works/OL18344473W;/authors/OL884716A;Translation issues in language and law;
/works/OL4444867W;/authors/OL884716A;Cooperating With Written Texts;
/works/OL4444868W;/authors/OL884716A;Grammatik und Variation von Flexionsformen in der Sprache des Shakespeare Corpus;
/works/OL4444869W;/authors/OL884716A;Natürlicher syntaktischer Sprachwandel;
/works/OL4444870W;/authors/OL884716A;The semantics of syntactic change;
/works/OL4444871W;/authors/OL884716A;Theoretische Grundlagen der Übersetzungswissenschaft;
/works/OL29463830W;/authors/OL10886551A;Other Americans;
/works/OL33826788W;/authors/OL12235058A;NYS Grade 7 Mathematics;
/works/OL33801856W;/authors/OL12235058A;NYS Grade 6 Mathematics;
/works/OL23580598W;/authors/OL325143A;Wieviel Demokratie verträgt Europa? Wieviel Europa verträgt die Demokratie?;
/works/OL23299701W;/authors/OL325143A;Frauen & Männer und Pornographie;
/works/OL18552907W;/authors/OL325143A;Familie bringt Gewinn;
/works/OL2382601W;/authors/OL325143A;Mut zur Menschlichkeit;
/works/OL2382602W;/authors/OL325143A;Nach der Vereinigung Deutschlands;
/works/OL2382603W;/authors/OL325143A;"Renate Schmidt ""Was ich will""";
/works/OL2382604W;/authors/OL325143A;S.O.S. Familie;
/works/OL2382605W;/authors/OL325143A;S.O.S Familie. Ohne Kinder sehen wir alt aus;
